ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
38,Luna the Autobiography of a Super Cat,"I am a Cat who has had a lot of experiences in my 4 years. In my Autobiography with 21 pictures and 5000 words you can meet my friends like Michael, the local mob and the kind farmer, hate my enemies like the Big Fat Ugly Dog, the Bad Man and the Satanic Cat. and laugh at the terrible ideas of the enigmatic Bad Boy. You can share my grief and my joy. Michael says that I have delusions of Grandeur. He is wrong, I don't have delusions; I am Grand. Suitable for people aged from 8 to 118.",, ,49,Luna Challis,Steve Challis, ,3.94,18,3,Smashwords Edition,August 28th 2011,ebook,English,1034-18947520-luna-the-autobiography-of-a-super-cat.html
39,Autobiography of Countess Tolstoy,This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the web. Purchase of the Kindle edition includes wireless delivery.,, ,68,Sofia Tolstaya,Leonard Woolf,S.S. Koteliansky,3.81,16,1, , ,Kindle Edition,English,1035-18945787-autobiography-of-countess-tolstoy.html
40,"An Autobiography, Part 1","""It has seemed to me that a natural history of myself would be a useful accompaniment to the books which it has been the chief occupation of my life to write. In the following chapters I have attempted to give such a natural history."" - Herbert Spencer",1417970316,9781417970315,588,Herbert Spencer, , ,3.50,4,1,Kessinger Publishing,January 1st 2005,Paperback,English,1036-328695.An_Autobiography_Part_1.html
41,Omnibus: The Complete Autobiography, ,0413609901,9780413609908,736,Dirk Bogarde, , ,4.12,16,1,Methuen Publishing Ltd,October 27th 1988,Hardcover,English,1037-761606.Omnibus.html
42,A Cornish Childhood: Autobiography of a Cornishman,"A brilliant piece of autobiography, the early life of a working class boy in a Cornish village and a record of the various stages in his progress from elementary school to secondary and thence to Oxford.",0517538458,9780517538456,282,A.L. Rowse, , ,3.44,18,3,Clarkson N. Potter: Distributed by Crown Publishers,January 1st 1979,Hardcover,English,1038-4352838-a-cornish-childhood.html
43,So Far: The Autobiography,"A self-portrait of an international rider, and an insight into the pressures on international three-day eventers to split their time between their personal and professional lives. It includes Mark Todd's career statistics, accounts of the two Olympic campaigns and cameos of some of his top rides, including Charisma, Southern Comfort and Bertie Blunt.",0752826336,9780752826332,280,Mark Todd, , ,3.60,20,3,Not Avail,April 1st 1999,Unknown Binding,English,1039-1918093.So_Far.html
44,A Liar's Autobiography: Volume VI,"Graham Chapman reveals what it was like to be part of the revolutionary and zany Monty Python teamRequired reading for Monty Python fans, this true and false memoir is Graham Chapman's own hilarious account of his life as a Python and as a homosexual. The book equals Joe Orton's famous Diaries in providing an unblushing account of a gay lifestyle linked to entertainment. Full of outrageous fictions and touching truths, in telling surreal and outrageous lies Graham Chapman often uncovers a truth about himself and colleagues. The stories Chapman relates--whether as mountaineer or medical student (he was a doctor); actor or alcoholic (he was both); heterosexual groupie-guzzler or homosexual coming to terms with himself (bit of both)--form a surreal and crowded mosaic that is funny, disturbing, and moving by turns. A minor cult classic by a major comic talent.",0413740900,9780413740908,244,Graham Chapman, , ,4.06,443,43,Methuen Publishing,1999,Paperback,English,104-486453.A_Liar_s_Autobiography.html
45,A Fart in a Colander: The Autobiography,"The paperback edition of the bestselling autobiography from Roy Hudd. Full of wonderful personal stories and tales of the amazing cast of characters with whom he's worked on stage, screen, and radio.",1843174944,9781843174943,320,Roy Hudd, , ,3.81,21,4,Michael O'Mara,September 1st 2010,Paperback,English,1040-10601717-a-fart-in-a-colander.html
46,Gray Matters: The Autobiography,"Andy Gray has been at the forefront of British soccer for over three decades. Now, for the first time, he tells his own remarkable story, and that of the modern game. From a fanatical footballing household in Glasgow, Andy worked his way to become a teenage prodigy at Dundee. But it was in England that Andy's name was cemented as one of Europe's top strikers, where he won the League, the FA Cup, and the European Cup Winners Cup. These triumphs—along with the managers, the goals, the games, and the fans are vividly brought to life, while Gray also explains how the game was evolving around him.",0330431994,9780330431996,320,Andy Gray, , ,2.62,16,3,Pan Macmillan,June 1st 2005,Paperback,English,1041-1909838.Gray_Matters.html
47,Service of Ladies: An Autobiography,"Ulrich von Liechtenstein's extraordinary account of his adventures as a knight-errant is one of the most vivid images of chivalric life to have come down to us. His knightly autobiography was written in the mid-thirteenth century, and gives an account of the 'journey of Venus' which he undertook in 1226 in honour of his lady, in which he claimed to have broken 307 spears in jousts against all comers in the space of a month. Some of it is obviously quietly exaggerated, written for his friends' entertainment many years later, and he is not above a sly dig at the conventions of courtly love, but he completely accepts its basic ideas. It is full of lively episodes and good stories, as well as verses in honour of his lady; if the tale has been polished up for effect, it is nonetheless a thoroughly entertaining account of how a knight saw his ideal career in the jousting field. If the name is unexpectedly familiar to modern readers, it is because it was borrowed by the hero of the film 'A Knight's Tale'; Ulrich would have certainly approved of his exploits. Introduction by KELLY DEVRIES.",1843830957,9781843830955,189,Ulrich von Liechtenstein, , ,3.85,13,1,Boydell Press,October 1st 2004,Paperback,English,1042-1125998.Service_of_Ladies.html
48,"Passion of Youth: An Autobiography, 1897-1922", ,0374229953,9780374229955,177,Wilhelm Reich,Mary Boyd Higgins, ,4.06,18,0,Farrar Straus Giroux,August 1st 1988,Hardcover,English,1043-2160308.Passion_of_Youth.html
49,The Years Of The Healing Knife: A Surgeon's Autobiography, ,0718303342,9780718303341,0,George Sava, , ,4.54,13,0, , , , ,1044-3833946-the-years-of-the-healing-knife.html
50,"A Mortal Flower (China : Autobiography, History, Book 2)","With black and white photographs..Softback,Ex-Library,with usual stamps markings, ,in very good all-round condition, ,362pages.",0586037381,9780586037386,368,Han Suyin, , ,4.06,36,2,Triad Books,July 1st 1972,Paperback,English,1045-1467770.A_Mortal_Flower.html
51,Halas by Halas: The Autobiography of George Halas, ,0070255490,9780070255494,351,George Halas, , ,3.73,26,4,McGraw-Hill,October 1st 1979,Hardcover, ,1046-491587.Halas_by_Halas.html
